ID;Year_Birth; Income ;Dt_Customer;Country;transaction_date;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;Total_Purchases;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain
7300;1952;69142;2014-06-29;India;2014-06-29;448;4;34;6;4;39;535;3;8;1;7;5;0;1;0;0;0;0;0
1371;1976;79941;2014-06-28;Australia;2014-06-28;123;164;266;227;30;174;984;1;2;4;9;1;0;0;0;0;0;0;0
8093;1969;79734;2014-06-28;Spain;2014-06-30;572;8;232;23;62;17;914;1;4;3;6;1;0;0;0;1;0;0;0
6722;1954;70421;2014-06-28;Canada;2014-06-29;479;28;136;75;14;35;767;3;10;3;7;6;0;0;0;0;0;0;0
2831;1976;78416;2014-06-27;Spain;2014-06-28;453;38;279;188;38;183;1179;2;7;7;10;3;0;0;0;0;0;0;0
2471;1965;61482;2014-06-27;Saudi Arabia;2014-06-30;48;58;68;16;66;43;299;1;3;2;6;2;0;0;0;0;0;0;0
1225;1963;80124;2014-06-26;Saudi Arabia;2014-06-26;483;84;398;205;84;241;1495;1;3;7;8;1;1;0;0;0;0;0;0
7059;1963;80124;2014-06-26;Spain;2014-06-30;483;84;398;205;84;241;1495;1;3;7;8;1;1;0;0;0;0;0;0
9888;1969;68695;2014-06-25;Spain;2014-06-29;458;81;356;106;50;40;1091;1;4;4;7;2;0;0;0;0;0;0;0
4399;1969;68695;2014-06-25;Canada;2014-06-26;458;81;356;106;50;40;1091;1;4;4;7;2;0;0;0;0;0;0;0
3267;1963;57288;2014-06-25;Canada;2014-06-29;527;0;21;0;0;60;608;3;8;1;8;6;0;1;0;0;0;0;0
5633;1980;50183;2014-06-25;Saudi Arabia;2014-06-29;97;12;84;13;10;15;231;7;3;1;6;5;0;0;0;0;0;0;0
2781;1981;72066;2014-06-23;Saudi Arabia;2014-06-29;1003;34;536;134;51;34;1792;1;4;6;6;2;0;0;1;1;0;1;0
2939;1970;79419;2014-06-22;Canada;2014-06-30;751;127;687;20;15;31;1631;1;4;6;4;2;0;0;0;0;0;0;0
2591;1959;76320;2014-06-22;USA;2014-06-28;526;35;214;69;53;35;932;2;6;3;4;2;0;0;0;0;0;0;0
1640;1954;64587;2014-06-22;Spain;2014-06-24;66;0;16;0;6;20;108;2;1;1;4;3;0;0;0;0;0;0;0
9400;1958;85485;2014-06-21;Spain;2014-06-21;630;26;611;44;18;54;1383;1;6;6;6;2;0;0;0;0;0;0;0
4050;1966;49605;2014-06-21;Canada;2014-06-22;42;16;29;12;20;8;127;1;2;1;4;3;0;0;0;0;0;0;0
2495;1974;83891;2014-06-20;Spain;2014-06-22;217;38;350;111;85;15;816;1;4;7;10;1;0;0;0;0;0;0;0
4828;1954;79865;2014-06-18;Saudi Arabia;2014-06-30;71;99;278;185;121;38;792;1;5;10;5;1;0;0;0;0;0;0;0
4769;1977;57954;2014-06-18;Spain;2014-06-27;456;4;24;0;0;9;493;7;8;2;6;7;0;1;0;0;0;0;0
477;1986;83512;2014-06-17;Spain;2014-06-23;1060;61;835;80;20;101;2157;1;4;7;10;1;1;0;1;1;1;1;0
4200;1970;44159;2014-06-17;Saudi Arabia;2014-06-19;167;2;62;24;13;7;275;4;4;1;6;5;0;0;0;0;0;0;0
1826;1970;84835;2014-06-16;Spain;2014-06-21;189;104;379;111;189;218;1190;1;4;4;6;1;0;0;0;0;0;1;0
7005;1981;58684;2014-06-16;Saudi Arabia;2014-06-27;479;35;179;28;7;85;813;1;5;3;12;2;0;1;0;0;0;0;0
1;1961;57091;2014-06-15;Canada;2014-06-19;464;5;64;7;0;37;577;1;7;3;7;5;0;0;0;0;1;1;0
3463;1975;69283;2014-06-14;India;2014-06-17;674;62;134;0;26;8;904;4;7;3;13;5;0;0;0;0;0;0;0
9624;1958;65488;2014-06-13;Spain;2014-06-24;603;45;207;36;18;54;963;1;3;4;6;1;0;0;0;0;0;0;0
6652;1965;77343;2014-06-09;Canada;2014-06-25;227;151;573;98;54;31;1134;1;3;4;9;1;0;0;0;0;0;0;0
4268;1959;53154;2014-06-09;USA;2014-06-16;129;0;21;0;1;7;158;1;3;1;4;4;0;0;0;0;0;0;0
713;1977;50353;2014-06-08;Spain;2014-06-14;141;15;153;67;31;35;442;1;4;4;6;3;0;0;0;0;0;0;0
2225;1977;82582;2014-06-07;Australia;2014-06-20;510;120;550;156;40;241;1617;1;4;9;7;1;1;0;0;1;0;1;0
8439;1964;63404;2014-06-06;Spain;2014-06-13;734;26;70;11;44;17;902;2;6;3;4;4;0;0;0;1;0;0;0
6892;1968;61671;2014-06-03;Spain;2014-06-21;641;7;56;0;0;28;732;8;10;4;6;8;0;1;0;1;0;0;0
